Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
476       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81925.139511    -92283.381459    -56327.140440    1262.679028      539.877710       
477       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81913.808313    -92272.718090    -56318.668250    1269.885026      543.552448       
478       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81902.471879    -92262.048825    -56310.193600    1277.092146      547.232084       
479       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81891.130232    -92251.373687    -56301.716490    1284.300386      550.916597       
480       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81879.783397    -92240.692701    -56293.236920    1291.509744      554.605962       
481       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81868.431401    -92230.005890    -56284.754890    1298.720219      558.300156       
482       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81857.074266    -92219.313276    -56276.270400    1305.931809      561.999156       
483       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81845.712018    -92208.614883    -56267.783450    1313.144514      565.702940       
484       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81834.344681    -92197.910733    -56259.294040    1320.358332      569.411485       
485       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81822.972278    -92187.200850    -56250.802170    1327.573262      573.124768       
486       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81811.594833    -92176.485255    -56242.307840    1334.789302      576.842768       
487       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81800.212370    -92165.763971    -56233.811050    1342.006451      580.565462       
488       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81788.824913    -92155.037020    -56225.311800    1349.224708      584.292828       
489       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81777.432483    -92144.304424    -56216.810090    1356.444071      588.024846       
490       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81766.035105    -92133.566205    -56208.305920    1363.664540      591.761492       
491       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81754.632801    -92122.822383    -56199.799290    1370.886112      595.502747       
492       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81743.225593    -92112.072981    -56191.290200    1378.108788      599.248588       
493       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81731.813505    -92101.318019    -56182.778650    1385.332564      602.998995       
494       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81720.396558    -92090.557519    -56174.264640    1392.557442      606.753947       
495       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81708.974774    -92079.791502    -56165.748170    1399.783418      610.513424       
496       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81697.548175    -92069.019987    -56157.229240    1407.010492      614.277404       
497       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81686.116783    -92058.242996    -56148.707850    1414.238663      618.045868       
498       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81674.680620    -92047.460549    -56140.184000    1421.467929      621.818796       
499       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81663.239707    -92036.672666    -56131.657690    1428.698290      625.596167       
500       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81651.794064    -92025.879368    -56123.128920    1435.929744      629.377962       
501       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81640.343714    -92015.080673    -56114.597690    1443.162289      633.164160       
502       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81628.888676    -92004.276602    -56106.064000    1450.395926      636.954744       
503       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81617.428972    -91993.467174    -56097.527850    1457.630652      640.749692       
504       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81605.964622    -91982.652409    -56088.989240    1464.866467      644.548986       
505       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81594.495646    -91971.832326    -56080.448170    1472.103370      648.352608       
506       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81583.022065    -91961.006943    -56071.904640    1479.341359      652.160537       
